Asset Type,Time (UTC),Symbol,Qty Sold,Sell Price,Cost Basis,Realized $
Stock,2026-08-12 17:50:04.834033+00:00,CIEN,0.3205,444.848,403.5009,13.25
Stock,2026-08-12 19:24:18.680924+00:00,PXLW,17.7702,6.41,6.19,3.91
Stock,2026-08-12 23:37:14.943750+00:00,KR,5.4022,56.03,55.5315,2.69
Stock,2026-08-13 01:59:06.150714+00:00,DELL,0.1611,487.206,465.568,3.49
Stock,2026-08-13 10:16:07.657214+00:00,ABSI,12.057,9.51,9.1231,4.66
Stock,2026-08-13 11:08:14.499133+00:00,HPQ,2.5493,31.0,29.4194,4.03
Stock,2026-08-13 13:30:33.450777+00:00,HUM,0.2016,387.0,371.98,3.03
Stock,2026-08-13 13:34:34.214130+00:00,TFII,0.8866,147.524,140.99,5.79
Stock,2026-08-13 13:36:17.071244+00:00,MASS,10.8479,10.0045,10.0866,-0.89
Stock,2026-08-13 13:36:35.055844+00:00,HOOD,0.7945,99.246,94.39,3.86
Stock,2026-08-13 13:36:37.454684+00:00,SMCI,3.5847,39.6579,36.0847,12.81
Stock,2026-08-13 13:58:39.449767+00:00,GPN,1.1583,90.82,86.33,5.2
Stock,2026-08-13 14:00:39.990667+00:00,QSR,4.8894,77.23,73.5518,17.98
Stock,2026-08-13 14:14:42.264929+00:00,ATEX,1.3079,91.07,84.1,9.12
Stock,2026-08-13 14:18:42.427375+00:00,LRCX,0.3485,332.082,315.59,5.75
Stock,2026-08-13 14:20:43.309425+00:00,NFLX,1.6944,77.63,73.77,6.54
Stock,2026-08-13 14:32:44.797742+00:00,WDC,0.2831,487.676,441.7659,13.0
Stock,2026-08-13 14:46:47.333243+00:00,MU,0.1213,955.426,908.58,5.68
Stock,2026-08-13 14:58:51.378404+00:00,OPEN,5.25,3.55,3.38,0.89
Stock,2026-08-13 14:58:52.461283+00:00,PXLW,17.7702,6.66,6.19,8.35
Stock,2026-08-13 15:18:06.489368+00:00,NVDA,17.563,225.02,221.889,54.99
Stock,2026-08-13 15:18:08.591508+00:00,MSFT,5.6052,495.68,499.5261,-21.56
Stock,2026-08-13 15:18:08.921730+00:00,META,3.1573,588.64,595.7631,-22.49
Stock,2026-08-13 17:19:09.838713+00:00,ATRO,1.4798,93.07,84.47,12.73
Stock,2026-08-13 18:03:16.594371+00:00,QMCO,9.753,24.46,16.2941,79.64
Stock,2026-08-13 18:33:21.334552+00:00,TLS,25.7605,4.48,4.27,5.41
Stock,2026-08-13 18:39:22.734192+00:00,RPD,5.9711,13.19,12.56,3.76
Stock,2026-08-13 18:41:35.054256+00:00,INTU,0.3715,350.522,333.0952,6.47
Option,2026-08-11 14:56:42.998671+00:00,NVDA260814C00230000,37.0,0.45,0.36,333.0
Option,2026-08-12 13:32:27.492097+00:00,NVDA260814C00230000,37.0,0.55,0.36,703.0
Option,2026-08-12 14:02:30.955617+00:00,NVDA260814C00230000,37.0,0.66,0.36,1110.0
Option,2026-08-12 14:28:33.811180+00:00,NVDA260814C00232500,38.0,0.42,0.31,418.0
Option,2026-08-12 14:40:35.300687+00:00,NVDA260814C00232500,38.0,0.47,0.31,608.0
Option,2026-08-12 16:55:42.005726+00:00,SMCI260814C00038000,26.0,0.63,0.49,364.0
Option,2026-08-12 17:05:43.196124+00:00,SMCI260814C00038000,26.0,0.75,0.49,676.0
Option,2026-08-12 17:09:43.694608+00:00,SMCI260814C00038000,26.0,0.9,0.49,1066.0
Option,2026-08-12 19:01:55.934167+00:00,HOOD260814C00099000,25.0,0.6,0.48,300.0
Option,2026-08-13 13:31:38.127190+00:00,AAPL260814C00322500,250.0,0.02,0.22,-5000.0
Option,2026-08-13 13:31:38.280751+00:00,AVGO260814C00442500,30.0,0.01,1.62,-4830.0
Option,2026-08-13 13:31:38.516194+00:00,GOOGL260814C00360000,217.0,0.11,0.25,-3038.0
Option,2026-08-13 13:31:38.518834+00:00,HOOD260814C00099000,75.0,0.82,0.48,2550.0
Option,2026-08-13 13:31:38.670207+00:00,META260814C00635000,39.0,0.08,1.26,-4602.0
Option,2026-08-13 13:31:38.780604+00:00,MSFT260814C00527500,156.0,0.01,0.34,-5148.0
Option,2026-08-13 13:31:39.058204+00:00,NVDA260814C00232500,75.0,0.26,0.31,-375.0
Option,2026-08-13 13:31:39.163599+00:00,NVDA260814C00230000,36.0,0.57,0.36,756.0
Option,2026-08-13 13:31:39.168631+00:00,SMCI260814C00038000,28.0,1.48,0.49,2772.0
Option,2026-08-13 13:31:39.432481+00:00,TSLA260814C00342500,98.0,0.3,0.49,-1862.0

,,,,STOCKS TOTAL,536.51
,,,,OPTIONS TOTAL,-13199.0
,,,,COMBINED TOTAL,-12662.49
